Customer ID,Age,Age Group,Gender,Loyalty Member,Product Type,SKU,Rating,Order Status,Payment Method,Total Price,Unit Price,Quantity,Purchase Date,Shipping Type,Add-ons Purchased,Impulse Item,Accessory,Extended Warranty,Add-on Total
1000,53,45-54,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,5538.33,791.19,7,3/20/24,Standard,"Accessory,Accessory,Accessory",0,3,0,40.21
1000,53,45-54,Male,No,Tablet,SKU1002,3,Completed,Paypal,741.09,247.03,3,4/20/24,Overnight,Impulse Item,1,0,0,26.09
1002,41,35-44,Male,No,Laptop,SKU1005,3,Completed,Credit Card,1855.84,463.96,4,10/17/23,Express,None,0,0,0,0
1002,41,35-44,Male,Yes,Smartphone,SKU1004,2,Completed,Cash,3164.76,791.19,4,8/9/24,Overnight,"Impulse Item,Impulse Item",2,0,0,60.16
1003,75,75-80,Male,Yes,Smartphone,SKU1001,5,Completed,Cash,41.5,20.75,2,5/21/24,Express,Accessory,0,1,0,35.56
1004,41,35-44,Female,No,Smartphone,SKU1001,5,Completed,Credit Card,83,20.75,4,5/26/24,Standard,"Impulse Item,Accessory",1,1,0,65.78
1005,25,25-34,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,7603.47,844.83,9,1/30/24,Overnight,None,0,0,0,0
1005,25,25-34,Female,No,Laptop,SKU1005,3,Completed,Debit Card,4175.64,463.96,9,6/24/24,Overnight,"Extended Warranty,Extended Warranty",0,0,2,75.33
1006,24,18-24,Male,No,Smartphone,SKU1004,2,Cancelled,Debit Card,5538.33,791.19,7,10/3/23,Standard,Impulse Item,1,0,0,43.05
1006,24,18-24,Male,Yes,Laptop,SKU1005,3,Completed,Cash,4175.64,463.96,9,1/1/24,Express,None,0,0,0,0
1006,24,18-24,Male,Yes,Tablet,SKU1002,3,Completed,Paypal,2470.3,247.03,10,6/25/24,Overnight,"Impulse Item,Accessory,Impulse Item",2,1,0,90.38
1007,35,35-44,Male,No,Smartphone,SKU1004,2,Cancelled,Credit Card,7120.71,791.19,9,11/7/23,Overnight,"Accessory,Extended Warranty",0,1,1,55.48
1008,66,65-74,Female,No,Smartwatch,SKU1003,3,Completed,Cash,3379.32,844.83,4,9/25/23,Express,"Extended Warranty,Impulse Item,Extended Warranty",1,0,2,65.85
1011,72,65-74,Male,No,Smartphone,SKU1004,2,Completed,Credit Card,7911.9,791.19,10,7/7/24,Standard,"Accessory,Accessory,Accessory",0,3,0,70.17
1013,42,35-44,Female,No,Smartphone,SKU1004,2,Cancelled,Paypal,5538.33,791.19,7,3/18/24,Overnight,"Accessory,Impulse Item,Accessory",1,2,0,57.81
1014,73,65-74,Female,No,Smartwatch,SKU1003,3,Cancelled,Credit Card,5068.98,844.83,6,1/2/24,Standard,"Extended Warranty,Extended Warranty",0,0,2,69.31
1014,73,65-74,Female,Yes,Smartphone,SKU1004,2,Completed,Cash,4747.14,791.19,6,5/18/24,Standard,Accessory,0,1,0,8.3
1015,22,18-24,Male,No,Smartphone,SKU1001,5,Completed,Paypal,83,20.75,4,9/2/24,Standard,"Accessory,Accessory,Accessory",0,3,0,80
1016,61,55-64,Male,Yes,Smartphone,SKU1001,5,Completed,Paypal,103.75,20.75,5,7/7/24,Overnight,None,0,0,0,0
1018,34,25-34,Male,No,Smartphone,SKU1001,5,Completed,Paypal,124.5,20.75,6,7/23/24,Express,"Impulse Item,Extended Warranty",1,0,1,70.39
1019,45,45-54,Male,No,Smartphone,SKU1001,5,Cancelled,Cash,83,20.75,4,3/14/24,Express,None,0,0,0,0
1019,45,45-54,Male,No,Tablet,SKU1002,3,Completed,Cash,988.12,247.03,4,4/20/24,Express,"Impulse Item,Impulse Item",2,0,0,37.87
1019,45,45-54,Male,Yes,Smartwatch,SKU1003,3,Cancelled,Paypal,844.83,844.83,1,7/21/24,Express,Accessory,0,1,0,49.17
1020,57,55-64,Female,No,Smartwatch,SKU1003,3,Cancelled,Debit Card,3379.32,844.83,4,12/2/23,Express,"Impulse Item,Accessory,Extended Warranty",1,1,1,37.13
1021,71,65-74,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,844.83,844.83,1,3/20/24,Overnight,"Accessory,Extended Warranty",0,1,1,49.54
1022,76,75-80,Female,No,Smartwatch,SKU1003,3,Cancelled,Paypal,6758.64,844.83,8,4/27/24,Overnight,"Impulse Item,Accessory,Impulse Item",2,1,0,73.49
1024,49,45-54,Female,No,Smartphone,SKU1004,2,Completed,Cash,1582.38,791.19,2,7/10/24,Overnight,"Extended Warranty,Impulse Item",1,0,1,51.93
1025,77,75-80,Male,No,Laptop,SKU1005,3,Completed,Debit Card,2783.76,463.96,6,1/29/24,Overnight,None,0,0,0,0
1025,77,75-80,Male,No,Smartphone,SKU1001,5,Completed,Cash,83,20.75,4,8/28/24,Express,"Extended Warranty,Extended Warranty",0,0,2,77.78
1027,22,18-24,Male,No,Smartphone,SKU1004,2,Completed,Paypal,4747.14,791.19,6,11/28/23,Overnight,None,0,0,0,0
1028,79,75-80,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,6758.64,844.83,8,11/30/23,Overnight,None,0,0,0,0
1030,69,65-74,Male,No,Smartwatch,SKU1003,3,Completed,Debit Card,4224.15,844.83,5,2/27/24,Express,"Accessory,Impulse Item,Accessory",1,2,0,46.03
1031,20,18-24,Female,No,Smartwatch,SKU1003,3,Completed,Debit Card,5913.81,844.83,7,1/21/24,Express,None,0,0,0,0
1031,20,18-24,Female,No,Smartphone,SKU1001,5,Completed,Debit Card,103.75,20.75,5,9/3/24,Overnight,"Accessory,Accessory",0,2,0,17.79
1033,54,45-54,Female,No,Tablet,SKU1002,3,Completed,Debit Card,988.12,247.03,4,11/30/23,Overnight,None,0,0,0,0
1033,54,45-54,Female,No,Smartphone,SKU1004,2,Completed,Debit Card,3164.76,791.19,4,1/12/24,Standard,"Accessory,Accessory",0,2,0,49.24
1035,32,25-34,Female,No,Smartphone,SKU1001,5,Completed,Cash,186.75,20.75,9,9/24/23,Standard,None,0,0,0,0
1035,32,25-34,Female,Yes,Smartphone,SKU1001,5,Completed,Cash,62.25,20.75,3,3/25/24,Standard,"Accessory,Accessory",0,2,0,33.56
1036,60,55-64,Male,Yes,Smartphone,SKU1004,2,Cancelled,Debit Card,3955.95,791.19,5,10/12/23,Standard,"Extended Warranty,Impulse Item",1,0,1,56.62
1036,60,55-64,Male,Yes,Smartphone,SKU1004,2,Cancelled,Paypal,791.19,791.19,1,1/28/24,Express,None,0,0,0,0
1038,56,55-64,Female,No,Smartwatch,SKU1003,3,Completed,Paypal,4224.15,844.83,5,7/8/24,Overnight,Extended Warranty,0,0,1,10
1038,56,55-64,Female,Yes,Smartwatch,SKU1003,3,Completed,Cash,5068.98,844.83,6,7/29/24,Standard,None,0,0,0,0
